Title,cluster
"Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương ở mức khá.",2
Công ty trẻ trung năng động,2
Môi trường làm việc thoải mái vui vẻ,2
good environment for fresher,3
"Môi trường làm việc thoải mái, vui vẻ",2
"Môi trường làm việc năng động, hiện đại, thân thiện",2
Sếp tốt - Đồng nghiệp xịn- Nhân sự supportive,0
Môi trường đa quốc gia xịn xò,3
"Sếp tốt, đồng nghiệp rất hòa đồng và hỗ trợ nhau",0
Great place to work,0
Môi trường xịn,3
Môi tường tốt,2
Van phong dep / cong viec phu hop de hoc hoi ve cloud,3
Chính sách chưa rõ ràng,2
"Work Space, company policy and salary",1
Good Workspace,0
moi truong lam viec tot / than thien / van phong dep,3
Văn phòng đẹp,3
Great place to work for every level. Your English will improve here.,0
Good Company,3
"Sếp tốt, công ty ổn, nhưng dự án không quá đặc biệt hấp dẫn",1
Một nơi quá tuyệt vời,2
"Sếp quan tâm tới nhân viên, giờ giấc thoải mái",2
The best working environment that I have joined,3
Môi trường làm việc năng động,2
"Công ty tạm ổn, cần cải thiện thêm",3
Ổn định nhưng mau chán,3
Môi trường năng động,2
"Cty ok, môi trường ổn",3
Phù hợp cho Fresher,1
REVIEW CÔNG TY KHÍA CẠNH HỌC TẬP VÀ PHÁT TRIỂN,1
"Môi trường năng động, đồng nghiệp tốt",2
Môi trường làm việc tốt,2
Phù hợp cho fresher,1
Chính sách đã từng rất tốt,2
"Sếp giỏi, trình độ cao",0
Môi trường OK,2
"Giờ giấc thoải mái, đồng nghiệp thân thiện",0
"Công ty ổn, mọi người hòa đồng",0
"Môi trường ổn, Đồng nghiệp Hòa đồng",0
Thoải mái về giờ giấc.,2
Môi trường tốt,2
Đánh giá chung (nhân viên lâu năm sống lâu),3
Công ty rất tệ,1
"Sếp tốt, anh chị hỗ trợ nhiều",0
Sếp thân thiện,0
Công ty tốt,1
"Sếp ổn, mọi người thân thiện, môi trường làm việc khá thoải mái.",2
"Môi trường làm việc khá thoải mái về giờ giấc, sếp tốt, văn hóa ổn.",2
Môi trường tốt,2
Môi trường làm việc thân thiện,2
"Sếp ổn, OT hơi nhiều",3
Thân thiện,3
Công ty Ổn,1
Công ty môi trường rất tốt có nhiều dự án học hỏi,2
"Môi trường làm việc tốt, dự án nhiều thử thách để học hỏi",2
Review của 1 bạn dev quèn :D,1
Công ty có môi trường làm việc trẻ trung,2
Great company to work,0
A great place to working and grow.,0
"Lương cạnh tranh, cấp Macbook, BH full lương",3
Công ty có môi trường làm việc rất tốt,2
Môi trường năng động,2
Công ty quá là cool !,1
Một trong những công ty Nhật tốt nhất,1
Có phong cách của các công ty lớn,1
"Nhân viên được cấp Mac mới khi nhận việc. Môi trường trẻ trung, năng động.",2
"Good boss, macbook provided. flexible time, open thinking",1
Sếp và đồng nghiệp vui vẻ thân thiện,0
"Môi trường thân thiện, thích hợp cho sinh viên mới ra trường",0
"PM thân thiện, đồng nghiệp hòa động.",0
"Sếp tốt, nhân viên hòa đồng",0
Văn hoá làm việc cực tốt,1
"Sếp chả biết gì mà hay chê, làm việc không có quy trình, đồng nghiệp tự cao",1
Môi trường làm việc khá thoải mái,2
"Môi trường thân thiện, Sếp tốt, nhân viên hòa đồng",0
Môi trường làm việc tốt,2
"Đồng nghiệp thân thiện, sếp khó ưa.",0
"Sếp tốt, Môi trường thân thiện",0
Một người sếp đáng để bạn học hỏi,2
Một công ty rất phù hợp cho những ai muốn gắn bó lâu dài,3
Công ty đáng để gắn bó,1
1 Start up đáng để trải nghiệm,0
"Môi trường trẻ trung, Sếp và đồng nghiệp đều hoà đồng, hỗ trợ giúp đỡ nhau.",0
Sent wrong name of candidate in the first round.,3
"Môi trường trẻ, năng động, lành mạnh, đãi ngộ tốt",2
"Sếp tốt, văn hoá công ty tuyệt vời",1
"Nhân viên được cấp 2 màn hình, sếp hoà đồng, đồng nghiệp thoải mái thân thiện.",0
Cả Sếp và nhân viên đều hòa đồng,0
"Môi trường làm việc thoải mái, đồng nghiệp nhiệt tình hỗ trợ",2
1 công ty về AI đáng để thử sức.,3
Công ty rất quan tâm đến nhân viên,1
"Trang thiết bị xịn, nhân viên được trang bị hàng ""Apple""",3
"Môi trường làm việc thoải mái, cởi mở, tôn trọng lẫn nhau",2
"Sếp tốt, đồng nghiệp vui vẻ, môi trường làm việc thoải mái",2
"Văn hóa công ty trẻ, thú vị",1
Văn hóa công ty thú vị,1
Đãi ngộ tốt cho nhân viên,1
Công ty chú trọng vào phát triển con người,3
Cảm thấy tự hào khi là thành viên của Athena Studio,0
"Sếp tốt, thân thiện",0
"Quy trình làm việc minh bạch, rõ ràng Trải nghiệm onboarding tốt",2
Nhân viên mới đều được cấp Macbook đời mới,3
"Văn phòng đẹp, gần trung tâm thành phố, thuận tiện di chuyển",3
Bad communication,3
Mọi người trong công ty hòa đồng và tôn trọng lẫn nhau,0
"Môi trường làm việc thân thiện, có nhiều cơ hội thăng tiến",2
Tuyệt vời!,2
Làm ở đây rất mệt,3
Môi trường làm việc tốt,2
Good Company,3
Ngôi nhà khác của mình,3
"môi trường làm việc tuyệt vời, thân thiện, cơ hội phát triển thêm năng lực",2
"1 công ty năng động, có nhiều sản phẩm thú vị",2
"1 nơi thoải mái như ở nhà, và vẫn rất chuyên nghiệp",3
Nơi để phát triển bản thân về mọi mặt,1
"Môi trường trẻ, thoải mái",2
"Môi trường toàn người trẻ, thoải mái, hoà đồng, vui vẻ, support lẫn nhau.",0
"Môi trường vui vẻ, thoải mái",2
"Sếp tốt, đồng nghiệp vui vẻ, thân thiện",0
"Công ty môi trường trẻ, thân thiện",2
Product company! Nice working enviroment,3
"Môi trường trẻ, năng động",2
Công ty xịn,1
"AZoom một điểm đến trẻ chung, năng động",2
Công ty nhiều nhân sự trẻ năng động,1
Công ty này mình làm từ hồi còn ở SG nhưng đã chuyển trụ sở về Sihanoukville,2
"Công ty ổn áp, chỉ làm xa nhà chứ mọi phúc lợi đều tốt",1
"Công ty ổn, đồng nghiệp giúp đỡ nhau vì phải làm xa nhà",0
AZPLAYS cung cấp chế độ phúc lợi rất tốt,2
"Thời gian làm việc linh động, oke nha",2
"Công ty đông, nhiều project mới và nhiều fresher",1
Môi trường ok,2
Công ty tốt cho sinh viên mới ra trường,0
"Outsource, cũng ổn cho fresher",3
"Phù hợp fresher, junior",1
"Ổn, phù hợp cho người có kinh nghiệm nhiều",0
Good company,3
Công ty khá ổn,1
Môi trường thân thiện,3
"có thể trải nghiệm, nhưng ko phải nơi mình muốn gắn bó",3
Công ty OK,1
"Cong ty tot, dong nghiep vui ve",3
Công ty khá OK,1
Cong ty kha vui,3
Bình thường,2
"Sếp tốt, lương cao hơn so vs mấy cty embedded khác nhưng ít thưởng",1
Đồng nghiệp hòa đồng,0
Quản lý tận tâm,3
Mệt mỏi với team,3
Sêp dễ thương,3
Phù hợp cho người mới,3
Ổn cho mới ra trường,0
Cũng tạm được,3
"Sếp tốt , lương ổn",0
Nhân viên công ty dễ thương,1
"Technical lead rất tốt, giỏi, support anh em hết mình.",0
"Chế độ đãi ngộ tốt, sếp giỏi, đồng nghiệp thân thiện.",0
"Môi trường làm việc tốt, đồng nghiệp thân thiện hoà đồng, sếp giỏi",0
Sống tốt qua mùa dịch Covid nhờ Lương thưởng đầy đủ và đúng hạn,3
"Có dự án mới, nhiều thử thách",2
"Chế độ tốt, đồng nghiệp vui vẻ và lầy lội",3
"Môi trường làm việc tốt, chế độ tốt",2
"Môi trường làm việc năng động, trẻ trung, văn phòng đẹp",2
"Môi trường thân thiện, sếp tốt, phù hợp cho fresher",0
"Sếp tốt, Leader tốt",0
"Sếp tốt, đồng nghiệp thân thiện",0
Sếp tốt...môi trường phù hợp cho người mới,2
"Đồng nghiệp thân thiện, công ty như một gia đình",3
Môi trường tốt cho fresher học hỏi,2
"Working environment is very good, colleagues always help each other",3
Bản Viên như một gia đình,3
Change words change my life,0
"Mọi người dễ thương và hoà đồng, benefit tốt",0
"Công ty tốt, sếp tốt, đồng hiệp vui vẻ thân thiện,",0
