Title,cluster
"Môi trường thoải mái, ít áp lực, có thể làm việc hybrid, lương ở mức khá.",1
Công ty trẻ trung năng động,2
Môi trường làm việc thoải mái vui vẻ,0
good environment for fresher,0
"Môi trường làm việc thoải mái, vui vẻ",1
"Môi trường làm việc năng động, hiện đại, thân thiện",1
Sếp tốt - Đồng nghiệp xịn- Nhân sự supportive,0
Môi trường đa quốc gia xịn xò,1
"Sếp tốt, đồng nghiệp rất hòa đồng và hỗ trợ nhau",0
Great place to work,0
Môi trường xịn,0
Môi tường tốt,2
Van phong dep / cong viec phu hop de hoc hoi ve cloud,0
Chính sách chưa rõ ràng,1
"Work Space, company policy and salary",0
Good Workspace,0
moi truong lam viec tot / than thien / van phong dep,0
Văn phòng đẹp,0
Great place to work for every level. Your English will improve here.,0
Good Company,0
"Sếp tốt, công ty ổn, nhưng dự án không quá đặc biệt hấp dẫn",2
Một nơi quá tuyệt vời,2
"Sếp quan tâm tới nhân viên, giờ giấc thoải mái",2
The best working environment that I have joined,1
Môi trường làm việc năng động,0
"Công ty tạm ổn, cần cải thiện thêm",1
Ổn định nhưng mau chán,2
Môi trường năng động,1
"Cty ok, môi trường ổn",2
Phù hợp cho Fresher,2
REVIEW CÔNG TY KHÍA CẠNH HỌC TẬP VÀ PHÁT TRIỂN,1
"Môi trường năng động, đồng nghiệp tốt",1
Môi trường làm việc tốt,1
Phù hợp cho fresher,2
Chính sách đã từng rất tốt,2
"Sếp giỏi, trình độ cao",1
Môi trường OK,2
"Giờ giấc thoải mái, đồng nghiệp thân thiện",2
"Công ty ổn, mọi người hòa đồng",2
"Môi trường ổn, Đồng nghiệp Hòa đồng",2
Thoải mái về giờ giấc.,1
Môi trường tốt,1
Đánh giá chung (nhân viên lâu năm sống lâu),2
Công ty rất tệ,2
"Sếp tốt, anh chị hỗ trợ nhiều",0
Sếp thân thiện,0
Công ty tốt,0
"Sếp ổn, mọi người thân thiện, môi trường làm việc khá thoải mái.",1
"Môi trường làm việc khá thoải mái về giờ giấc, sếp tốt, văn hóa ổn.",1
Môi trường tốt,2
Môi trường làm việc thân thiện,2
"Sếp ổn, OT hơi nhiều",1
Thân thiện,2
Công ty Ổn,1
Công ty môi trường rất tốt có nhiều dự án học hỏi,1
"Môi trường làm việc tốt, dự án nhiều thử thách để học hỏi",1
Review của 1 bạn dev quèn :D,1
Công ty có môi trường làm việc trẻ trung,1
Great company to work,0
A great place to working and grow.,0
"Lương cạnh tranh, cấp Macbook, BH full lương",0
Công ty có môi trường làm việc rất tốt,1
Môi trường năng động,0
Công ty quá là cool !,0
Một trong những công ty Nhật tốt nhất,0
Có phong cách của các công ty lớn,2
"Nhân viên được cấp Mac mới khi nhận việc. Môi trường trẻ trung, năng động.",0
"Good boss, macbook provided. flexible time, open thinking",1
Sếp và đồng nghiệp vui vẻ thân thiện,2
"Môi trường thân thiện, thích hợp cho sinh viên mới ra trường",1
"PM thân thiện, đồng nghiệp hòa động.",1
"Sếp tốt, nhân viên hòa đồng",1
Văn hoá làm việc cực tốt,2
"Sếp chả biết gì mà hay chê, làm việc không có quy trình, đồng nghiệp tự cao",2
Môi trường làm việc khá thoải mái,2
"Môi trường thân thiện, Sếp tốt, nhân viên hòa đồng",2
Môi trường làm việc tốt,1
"Đồng nghiệp thân thiện, sếp khó ưa.",2
"Sếp tốt, Môi trường thân thiện",1
